r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 1,Herb Dean,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 27-30.,Bladimir Puga 28-29.,Ronaldo Rodriguez ,0,10 of 25,0,1 of 3,33%,0:43,10 of 25,4 of 16,2 of 3,4 of 6,10 of 25,0 of 0,Kevin Borjas ,1,18 of 32,1,0 of 0,---,0:00,17 of 31,13 of 27,2 of 2,2 of 2,14 of 28,1 of 1
Round 2,Herb Dean,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 27-30.,Bladimir Puga 28-29.,Ronaldo Rodriguez ,0,17 of 42,0,0 of 2,0%,0:14,17 of 42,7 of 30,3 of 4,7 of 8,16 of 41,1 of 1,Kevin Borjas ,0,23 of 33,0,0 of 0,---,0:00,23 of 33,20 of 30,2 of 2,1 of 1,22 of 31,1 of 2
Round 3,Herb Dean,Decision - Unanimous,Eric Colon 27-30.,Sal D'amato 27-30.,Bladimir Puga 28-29.,Ronaldo Rodriguez ,0,37 of 84,0,0 of 0,---,0:00,37 of 84,20 of 64,6 of 9,11 of 11,37 of 83,0 of 1,Kevin Borjas ,0,43 of 77,0,0 of 0,---,0:00,43 of 77,39 of 72,2 of 3,2 of 2,42 of 76,1 of 1
Round 1,Fernando Salas Navarro,Decision - Unanimous,Miguel Jimenez 28-29.,Chris Lee 28-29.,Dave Tirelli 28-29.,Christian Rodriguez ,0,12 of 15,0,1 of 5,20%,2:07,11 of 14,3 of 5,8 of 9,0 of 0,2 of 3,9 of 11,Melquizael Costa ,0,63 of 73,0,0 of 1,0%,2:12,22 of 32,5 of 11,15 of 19,2 of 2,4 of 9,8 of 12
Round 2,Fernando Salas Navarro,Decision - Unanimous,Miguel Jimenez 28-29.,Chris Lee 28-29.,Dave Tirelli 28-29.,Christian Rodriguez ,0,24 of 33,0,1 of 4,25%,1:42,19 of 27,8 of 16,9 of 9,2 of 2,10 of 18,9 of 9,Melquizael Costa ,0,71 of 93,0,1 of 1,100%,2:24,26 of 40,21 of 32,2 of 4,3 of 4,3 of 11,7 of 8
Round 3,Fernando Salas Navarro,Decision - Unanimous,Miguel Jimenez 28-29.,Chris Lee 28-29.,Dave Tirelli 28-29.,Christian Rodriguez ,0,41 of 65,0,4 of 6,66%,2:59,34 of 57,25 of 48,6 of 6,3 of 3,17 of 32,8 of 11,Melquizael Costa ,0,25 of 42,0,0 of 0,---,0:17,17 of 33,13 of 29,2 of 2,2 of 2,12 of 27,2 of 3
Round 1,Horacio Lopez Villanueva,Decision - Unanimous,Bladimir Puga 28-29.,Mike Bell 28-29.,Eric Colon 28-29.,Loopy Godinez ,0,26 of 38,0,2 of 2,100%,3:26,11 of 22,8 of 19,1 of 1,2 of 2,11 of 22,0 of 0,Julia Polastri ,0,24 of 36,0,0 of 0,---,0:00,14 of 25,4 of 11,5 of 9,5 of 5,13 of 20,0 of 0
Round 2,Horacio Lopez Villanueva,Decision - Unanimous,Bladimir Puga 28-29.,Mike Bell 28-29.,Eric Colon 28-29.,Loopy Godinez ,0,26 of 41,0,2 of 3,66%,3:16,15 of 27,12 of 23,2 of 3,1 of 1,13 of 25,0 of 0,Julia Polastri ,0,25 of 47,0,0 of 0,---,0:00,15 of 33,7 of 21,3 of 7,5 of 5,11 of 26,0 of 0
Round 3,Horacio Lopez Villanueva,Decision - Unanimous,Bladimir Puga 28-29.,Mike Bell 28-29.,Eric Colon 28-29.,Loopy Godinez ,0,62 of 105,0,1 of 6,16%,0:48,58 of 101,51 of 93,6 of 7,1 of 1,51 of 94,7 of 7,Julia Polastri ,0,68 of 103,0,0 of 0,---,0:19,58 of 93,47 of 80,6 of 7,5 of 6,54 of 89,4 of 4
Round 1,Raul Porrata,Decision - Unanimous,Guilherme Bravo 27-30.,Dave Tirelli 27-30.,Sal D'amato 28-29.,Rafa Garcia ,0,19 of 33,0,1 of 2,50%,1:06,12 of 24,7 of 17,3 of 4,2 of 3,11 of 23,1 of 1,Vinc Pichel ,0,21 of 46,0,0 of 0,---,0:00,13 of 38,7 of 30,2 of 3,4 of 5,12 of 36,0 of 1
