r1,referee,method,re_1,re_2,re_3,f1,f1_kd1,f1_total1,f1_kd1,f1_td1,f1_tdp1,f1_ctrl1,f1_sig1,f1_head1,f1_body1,f1_leg1,f1_dis1,f1_cli1,f2,f2_kd1,f2_total1,f2_kd1,f2_td1,f2_tdp1,f2_ctrl1,f2_sig1,f2_head1,f2_body1,f2_leg1,f2_dis1,f2_cli1
Round 2,Lukasz Bosacki,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Anders Ohlsson 27-29.,Claudio Silva ,0,10 of 14,0,2 of 6,33%,1:50,6 of 10,3 of 7,2 of 2,1 of 1,6 of 9,0 of 1,Nicolas Dalby ,0,38 of 66,0,0 of 0,---,1:58,31 of 57,21 of 45,7 of 9,3 of 3,14 of 34,15 of 20
Round 3,Lukasz Bosacki,Decision - Unanimous,Ben Cartlidge 28-29.,David Lethaby 28-29.,Anders Ohlsson 27-29.,Claudio Silva ,0,11 of 15,0,1 of 2,50%,1:16,5 of 9,1 of 5,2 of 2,2 of 2,5 of 9,0 of 0,Nicolas Dalby ,0,21 of 44,0,1 of 1,100%,2:19,14 of 36,11 of 32,2 of 3,1 of 1,7 of 24,1 of 1
Round 1,Keith Peterson,Decision - Majority,Eric Colon 28-29.,Chris Lee 28-29.,Mike Bell 28-28.,Shane Burgos ,0,12 of 31,0,1 of 3,33%,1:24,12 of 27,3 of 13,4 of 8,5 of 6,6 of 17,6 of 10,Charles Jourdain ,0,39 of 59,0,0 of 1,0%,0:41,24 of 41,10 of 26,10 of 11,4 of 4,14 of 27,9 of 13
Round 2,Keith Peterson,Decision - Majority,Eric Colon 28-29.,Chris Lee 28-29.,Mike Bell 28-28.,Shane Burgos ,0,28 of 39,0,1 of 1,100%,4:02,4 of 8,2 of 5,1 of 2,1 of 1,3 of 7,0 of 0,Charles Jourdain ,0,7 of 13,0,0 of 0,---,0:00,5 of 11,2 of 7,3 of 3,0 of 1,5 of 11,0 of 0
Round 3,Keith Peterson,Decision - Majority,Eric Colon 28-29.,Chris Lee 28-29.,Mike Bell 28-28.,Shane Burgos ,0,27 of 46,0,0 of 3,0%,0:59,26 of 45,11 of 29,1 of 2,14 of 14,19 of 37,7 of 8,Charles Jourdain ,0,115 of 169,0,0 of 0,---,1:27,84 of 136,60 of 112,23 of 23,1 of 1,49 of 95,32 of 38
Round 1,Kevin MacDonald,Decision - Unanimous,Doug Crosby 27-30.,Dave Tirelli 27-30.,Derek Cleary 28-29.,Lauren Murphy ,0,35 of 57,0,0 of 2,0%,0:32,26 of 48,17 of 37,9 of 11,0 of 0,15 of 33,11 of 15,Miesha Tate ,0,38 of 60,0,0 of 3,0%,1:04,25 of 47,12 of 26,10 of 18,3 of 3,16 of 34,9 of 13
Round 2,Kevin MacDonald,Decision - Unanimous,Doug Crosby 27-30.,Dave Tirelli 27-30.,Derek Cleary 28-29.,Lauren Murphy ,0,53 of 82,0,1 of 2,50%,0:41,38 of 66,31 of 57,6 of 8,1 of 1,26 of 52,9 of 11,Miesha Tate ,0,46 of 69,0,0 of 1,0%,1:00,32 of 55,27 of 44,4 of 9,1 of 2,25 of 46,7 of 9
Round 3,Kevin MacDonald,Decision - Unanimous,Doug Crosby 27-30.,Dave Tirelli 27-30.,Derek Cleary 28-29.,Lauren Murphy ,0,40 of 72,0,1 of 2,50%,0:05,38 of 70,29 of 60,9 of 10,0 of 0,27 of 57,11 of 13,Miesha Tate ,0,37 of 72,0,0 of 3,0%,0:01,28 of 62,22 of 52,4 of 7,2 of 3,26 of 58,2 of 4
Round 1,Dan Miragliotta,Decision - Unanimous,Mike Bell 28-29.,Derek Cleary 28-29.,Chris Lee 28-29.,Dwight Grant ,0,23 of 35,0,0 of 0,---,0:00,23 of 35,19 of 30,1 of 1,3 of 4,21 of 32,2 of 3,Dustin Stoltzfus ,0,17 of 43,0,0 of 1,0%,0:26,17 of 43,7 of 30,2 of 3,8 of 10,15 of 40,2 of 3
Round 2,Dan Miragliotta,Decision - Unanimous,Mike Bell 28-29.,Derek Cleary 28-29.,Chris Lee 28-29.,Dwight Grant ,0,16 of 30,0,0 of 0,---,0:00,14 of 28,5 of 16,5 of 7,4 of 5,14 of 28,0 of 0,Dustin Stoltzfus ,0,31 of 52,0,1 of 2,50%,1:51,20 of 38,12 of 29,4 of 4,4 of 5,10 of 21,1 of 1
Round 3,Dan Miragliotta,Decision - Unanimous,Mike Bell 28-29.,Derek Cleary 28-29.,Chris Lee 28-29.,Dwight Grant ,0,15 of 37,0,0 of 0,---,0:00,15 of 37,11 of 33,1 of 1,3 of 3,15 of 37,0 of 0,Dustin Stoltzfus ,0,54 of 78,0,1 of 2,50%,2:00,12 of 31,4 of 22,1 of 1,7 of 8,10 of 27,0 of 0
Round 1,Jacob Montalvo,Decision - Unanimous,Doug Crosby 28-29.,Eric Colon 28-29.,Dave Tirelli 27-30.,Jessica Penne ,0,20 of 70,0,0 of 3,0%,0:00,17 of 67,13 of 61,4 of 6,0 of 0,15 of 65,2 of 2,Emily Ducote ,0,35 of 58,0,0 of 0,---,0:00,35 of 58,13 of 33,10 of 12,12 of 13,35 of 57,0 of 1
Round 2,Jacob Montalvo,Decision - Unanimous,Doug Crosby 28-29.,Eric Colon 28-29.,Dave Tirelli 27-30.,Jessica Penne ,0,28 of 90,0,0 of 4,0%,0:00,26 of 88,14 of 72,12 of 16,0 of 0,20 of 80,6 of 8,Emily Ducote ,0,38 of 74,0,0 of 0,---,0:00,37 of 73,17 of 49,6 of 10,14 of 14,36 of 72,1 of 1
Round 3,Jacob Montalvo,Decision - Unanimous,Doug Crosby 28-29.,Eric Colon 28-29.,Dave Tirelli 27-30.,Jessica Penne ,0,20 of 89,0,0 of 1,0%,0:00,20 of 89,10 of 75,10 of 14,0 of 0,20 of 89,0 of 0,Emily Ducote ,0,44 of 74,0,0 of 0,---,0:00,44 of 74,11 of 31,8 of 12,25 of 31,44 of 74,0 of 0
Round 1,Mike Beltran,Decision - Unanimous,Doug Crosby 27-30.,Sal D'amato 27-30.,Mike Bell 28-29.,Caio Borralho ,0,14 of 23,0,1 of 1,100%,4:24,4 of 5,3 of 4,0 of 0,1 of 1,4 of 5,0 of 0,Armen Petrosyan ,0,9 of 22,0,0 of 0,---,0:00,1 of 2,0 of 0,0 of 1,1 of 1,1 of 2,0 of 0
Round 2,Mike Beltran,Decision - Unanimous,Doug Crosby 27-30.,Sal D'amato 27-30.,Mike Bell 28-29.,Caio Borralho ,0,8 of 23,0,2 of 2,100%,2:47,2 of 8,0 of 5,2 of 3,0 of 0,2 of 8,0 of 0,Armen Petrosyan ,0,22 of 47,0,0 of 0,---,0:26,12 of 29,1 of 12,1 of 3,10 of 14,9 of 23,0 of 0
Round 3,Mike Beltran,Decision - Unanimous,Doug Crosby 27-30.,Sal D'amato 27-30.,Mike Bell 28-29.,Caio Borralho ,0,27 of 37,0,1 of 2,50%,2:58,6 of 12,1 of 6,4 of 5,1 of 1,5 of 10,1 of 2,Armen Petrosyan ,0,41 of 63,0,0 of 0,---,0:53,18 of 30,1 of 7,2 of 5,15 of 18,6 of 15,0 of 0
Round 1,Herb Dean,Decision - Unanimous,Mike Bell 27-30.,Derek Cleary 28-29.,Adalaide Byrd 28-29.,Douglas Silva de Andrade ,0,10 of 28,0,0 of 0,---,1:31,8 of 22,0 of 9,2 of 3,6 of 10,7 of 20,1 of 2,Said Nurmagomedov ,0,24 of 46,0,0 of 2,0%,0:02,9 of 30,4 of 22,2 of 4,3 of 4,9 of 28,0 of 2
Round 2,Herb Dean,Decision - Unanimous,Mike Bell 27-30.,Derek Cleary 28-29.,Adalaide Byrd 28-29.,Douglas Silva de Andrade ,0,14 of 33,0,0 of 0,---,0:20,13 of 32,3 of 16,4 of 8,6 of 8,12 of 30,0 of 0,Said Nurmagomedov ,0,24 of 46,0,0 of 1,0%,0:00,21 of 41,11 of 30,7 of 8,3 of 3,19 of 38,2 of 3
Round 3,Herb Dean,Decision - Unanimous,Mike Bell 27-30.,Derek Cleary 28-29.,Adalaide Byrd 28-29.,Douglas Silva de Andrade ,0,20 of 34,0,1 of 1,100%,2:21,7 of 20,1 of 9,5 of 8,1 of 3,5 of 16,1 of 1,Said Nurmagomedov ,0,29 of 58,0,1 of 2,50%,0:20,12 of 26,6 of 17,3 of 6,3 of 3,11 of 23,1 of 3
Round 1,Mike Beltran,Decision - Unanimous,Derek Cleary 28-29.,Doug Crosby 28-29.,Sal D'amato 28-29.,Aiemann Zahabi ,0,12 of 23,0,0 of 0,---,0:00,12 of 23,3 of 14,5 of 5,4 of 4,11 of 22,1 of 1,Ricky Turcios ,0,7 of 53,0,0 of 1,0%,0:00,7 of 53,3 of 46,1 of 4,3 of 3,7 of 53,0 of 0
Round 2,Mike Beltran,Decision - Unanimous,Derek Cleary 28-29.,Doug Crosby 28-29.,Sal D'amato 28-29.,Aiemann Zahabi ,0,21 of 46,0,0 of 0,---,0:00,21 of 46,10 of 29,2 of 6,9 of 11,21 of 46,0 of 0,Ricky Turcios ,0,10 of 84,0,0 of 1,0%,0:00,10 of 84,4 of 72,3 of 8,3 of 4,10 of 84,0 of 0
Round 3,Mike Beltran,Decision - Unanimous,Derek Cleary 28-29.,Doug Crosby 28-29.,Sal D'amato 28-29.,Aiemann Zahabi ,0,21 of 36,0,0 of 0,---,0:00,21 of 36,5 of 16,2 of 3,14 of 17,21 of 36,0 of 0,Ricky Turcios ,0,10 of 98,0,0 of 0,---,0:00,10 of 98,7 of 86,1 of 9,2 of 3,10 of 98,0 of 0
Round 1,Herb Dean,Decision - Split,Derek Cleary 28-29.,Mike Bell 29-28.,Anthony Maness 28-29.,Michael Johnson ,1,20 of 45,1,0 of 1,0%,0:34,18 of 42,12 of 33,5 of 8,1 of 1,11 of 32,3 of 4,Jamie Mullarkey ,0,20 of 53,0,0 of 0,---,0:09,20 of 53,10 of 37,3 of 9,7 of 7,18 of 47,0 of 2
Round 2,Herb Dean,Decision - Split,Derek Cleary 28-29.,Mike Bell 29-28.,Anthony Maness 28-29.,Michael Johnson ,0,18 of 58,0,0 of 1,0%,0:00,18 of 57,11 of 44,6 of 12,1 of 1,17 of 56,1 of 1,Jamie Mullarkey ,0,45 of 95,0,0 of 0,---,0:08,45 of 95,24 of 69,11 of 15,10 of 11,34 of 79,11 of 16
Round 3,Herb Dean,Decision - Split,Derek Cleary 28-29.,Mike Bell 29-28.,Anthony Maness 28-29.,Michael Johnson ,0,30 of 91,0,0 of 0,---,0:03,30 of 91,19 of 70,11 of 21,0 of 0,30 of 91,0 of 0,Jamie Mullarkey ,0,31 of 70,0,0 of 2,0%,0:00,31 of 69,20 of 54,7 of 10,4 of 5,31 of 69,0 of 0
Round 1,Chris Tognoni,Decision - Split,Derek Cleary 28-29.,Junichiro Kamijo 29-28.,Adalaide Byrd 28-29.,Antonina Shevchenko ,0,30 of 55,0,0 of 0,---,1:34,16 of 35,6 of 21,5 of 8,5 of 6,16 of 35,0 of 0,Cortney Casey ,0,35 of 47,0,0 of 2,0%,0:00,12 of 20,3 of 5,0 of 1,9 of 14,11 of 19,1 of 1
Round 2,Chris Tognoni,Decision - Split,Derek Cleary 28-29.,Junichiro Kamijo 29-28.,Adalaide Byrd 28-29.,Antonina Shevchenko ,0,24 of 57,0,0 of 0,---,0:00,24 of 57,9 of 34,6 of 11,9 of 12,24 of 57,0 of 0,Cortney Casey ,0,9 of 39,0,0 of 1,0%,0:14,9 of 37,5 of 23,0 of 3,4 of 11,9 of 37,0 of 0
Round 3,Chris Tognoni,Decision - Split,Derek Cleary 28-29.,Junichiro Kamijo 29-28.,Adalaide Byrd 28-29.,Antonina Shevchenko ,0,27 of 46,0,0 of 1,0%,0:16,15 of 25,11 of 18,4 of 7,0 of 0,14 of 23,1 of 2,Cortney Casey ,0,36 of 60,0,2 of 2,100%,2:54,12 of 29,9 of 24,2 of 3,1 of 2,8 of 22,2 of 3
Round 1,Chris Tognoni,Decision - Unanimous,Tony Weeks 26-30.,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Ronnie Lawrence ,0,5 of 7,0,0 of 1,0%,0:04,4 of 6,1 of 3,2 of 2,1 of 1,3 of 5,1 of 1,Saidyokub Kakhramonov ,0,30 of 44,0,4 of 6,66%,4:05,12 of 18,11 of 16,1 of 2,0 of 0,1 of 4,5 of 5
Round 2,Chris Tognoni,Decision - Unanimous,Tony Weeks 26-30.,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Ronnie Lawrence ,0,8 of 21,0,1 of 1,100%,0:00,8 of 21,6 of 14,1 of 6,1 of 1,8 of 21,0 of 0,Saidyokub Kakhramonov ,0,35 of 61,0,2 of 5,40%,3:43,11 of 28,10 of 26,0 of 1,1 of 1,3 of 14,0 of 2
Round 3,Chris Tognoni,Decision - Unanimous,Tony Weeks 26-30.,Sal D'amato 27-30.,Junichiro Kamijo 27-30.,Ronnie Lawrence ,0,3 of 6,0,0 of 0,---,0:00,3 of 6,1 of 4,1 of 1,1 of 1,3 of 6,0 of 0,Saidyokub Kakhramonov ,0,40 of 51,0,4 of 5,80%,4:31,9 of 13,7 of 11,0 of 0,2 of 2,0 of 2,2 of 2
Round 1,Herb Dean,Decision - Unanimous,Derek Cleary 46-49.,Junichiro Kamijo 46-49.,Sal D'amato 45-50.,Israel Adesanya ,0,22 of 48,0,0 of 0,---,0:00,22 of 48,7 of 29,6 of 8,9 of 11,22 of 48,0 of 0,Jared Cannonier ,0,18 of 28,0,0 of 0,---,0:00,18 of 28,1 of 6,6 of 8,11 of 14,18 of 28,0 of 0
Round 2,Herb Dean,Decision - Unanimous,Derek Cleary 46-49.,Junichiro Kamijo 46-49.,Sal D'amato 45-50.,Israel Adesanya ,0,28 of 48,0,0 of 0,---,0:00,28 of 48,12 of 32,9 of 9,7 of 7,28 of 47,0 of 1,Jared Cannonier ,0,19 of 31,0,0 of 0,---,0:00,19 of 31,6 of 15,9 of 11,4 of 5,19 of 31,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Derek Cleary 46-49.,Junichiro Kamijo 46-49.,Sal D'amato 45-50.,Israel Adesanya ,0,35 of 53,0,0 of 0,---,0:00,17 of 35,9 of 26,4 of 4,4 of 5,17 of 34,0 of 1,Jared Cannonier ,0,38 of 62,0,0 of 2,0%,1:29,17 of 36,7 of 22,6 of 8,4 of 6,9 of 27,8 of 9
Round 4,Herb Dean,Decision - Unanimous,Derek Cleary 46-49.,Junichiro Kamijo 46-49.,Sal D'amato 45-50.,Israel Adesanya ,0,40 of 61,0,0 of 0,---,0:00,24 of 45,15 of 34,5 of 7,4 of 4,24 of 45,0 of 0,Jared Cannonier ,0,31 of 55,0,0 of 1,0%,1:18,16 of 36,8 of 27,6 of 7,2 of 2,14 of 33,2 of 3
Round 5,Herb Dean,Decision - Unanimous,Derek Cleary 46-49.,Junichiro Kamijo 46-49.,Sal D'amato 45-50.,Israel Adesanya ,0,38 of 67,0,0 of 0,---,0:00,25 of 54,17 of 44,2 of 3,6 of 7,23 of 52,2 of 2,Jared Cannonier ,0,35 of 41,0,0 of 1,0%,1:27,20 of 26,14 of 19,5 of 6,1 of 1,18 of 24,2 of 2
Round 1,Marc Goddard,Decision - Unanimous,Mike Bell 45-50.,Sal D'amato 45-50.,Ron McCarthy 45-50.,Alexander Volkanovski ,0,28 of 70,0,0 of 0,---,0:00,28 of 70,18 of 55,5 of 7,5 of 8,26 of 68,2 of 2,Max Holloway ,0,26 of 58,0,0 of 0,---,0:00,24 of 56,11 of 31,6 of 14,7 of 11,22 of 54,2 of 2
Round 2,Marc Goddard,Decision - Unanimous,Mike Bell 45-50.,Sal D'amato 45-50.,Ron McCarthy 45-50.,Alexander Volkanovski ,0,38 of 79,0,0 of 0,---,0:22,37 of 78,29 of 69,3 of 4,5 of 5,35 of 75,2 of 3,Max Holloway ,0,37 of 75,0,0 of 0,---,0:00,27 of 65,15 of 48,7 of 10,5 of 7,27 of 65,0 of 0
Round 3,Marc Goddard,Decision - Unanimous,Mike Bell 45-50.,Sal D'amato 45-50.,Ron McCarthy 45-50.,Alexander Volkanovski ,0,40 of 74,0,0 of 0,---,0:32,40 of 74,31 of 63,5 of 6,4 of 5,34 of 65,6 of 9,Max Holloway ,0,30 of 67,0,0 of 0,---,0:05,26 of 63,16 of 51,8 of 9,2 of 3,22 of 59,4 of 4
Round 4,Marc Goddard,Decision - Unanimous,Mike Bell 45-50.,Sal D'amato 45-50.,Ron McCarthy 45-50.,Alexander Volkanovski ,0,48 of 74,0,0 of 0,---,0:26,44 of 70,37 of 63,3 of 3,4 of 4,35 of 58,9 of 12,Max Holloway ,0,42 of 74,0,0 of 1,0%,0:03,31 of 63,13 of 41,16 of 20,2 of 2,24 of 56,7 of 7
Round 5,Marc Goddard,Decision - Unanimous,Mike Bell 45-50.,Sal D'amato 45-50.,Ron McCarthy 45-50.,Alexander Volkanovski ,0,50 of 80,0,0 of 0,---,0:37,50 of 80,37 of 66,3 of 4,10 of 10,45 of 74,5 of 6,Max Holloway ,0,26 of 61,0,0 of 2,0%,0:08,19 of 54,9 of 42,5 of 6,5 of 6,14 of 49,5 of 5
Round 1,Chris Tognoni,Decision - Unanimous,Derek Cleary 27-30.,Adalaide Byrd 27-30.,Junichiro Kamijo 27-30.,Ian Machado Garry ,0,41 of 67,0,0 of 0,---,0:00,41 of 67,30 of 54,6 of 8,5 of 5,40 of 66,1 of 1,Gabe Green ,0,28 of 60,0,0 of 0,---,0:00,26 of 58,8 of 33,5 of 7,13 of 18,26 of 58,0 of 0
Round 2,Chris Tognoni,Decision - Unanimous,Derek Cleary 27-30.,Adalaide Byrd 27-30.,Junichiro Kamijo 27-30.,Ian Machado Garry ,0,44 of 73,0,1 of 1,100%,0:27,36 of 65,25 of 52,6 of 8,5 of 5,35 of 64,0 of 0,Gabe Green ,0,47 of 83,0,1 of 2,50%,1:14,38 of 73,15 of 43,13 of 17,10 of 13,38 of 72,0 of 1
Round 3,Chris Tognoni,Decision - Unanimous,Derek Cleary 27-30.,Adalaide Byrd 27-30.,Junichiro Kamijo 27-30.,Ian Machado Garry ,1,44 of 66,1,0 of 1,0%,0:19,39 of 61,32 of 54,5 of 5,2 of 2,36 of 58,1 of 1,Gabe Green ,0,27 of 65,0,0 of 2,0%,1:03,26 of 64,8 of 36,6 of 12,12 of 16,26 of 64,0 of 0
Round 1,Mark Smith,Decision - Unanimous,Mike Bell 28-29.,Ron McCarthy 28-29.,Tony Weeks 28-29.,Brad Tavares ,0,25 of 29,0,0 of 0,---,1:58,10 of 13,8 of 10,2 of 3,0 of 0,6 of 8,3 of 3,Dricus Du Plessis ,0,23 of 35,0,0 of 6,0%,1:18,14 of 26,10 of 19,2 of 3,2 of 4,9 of 20,3 of 4
Round 2,Mark Smith,Decision - Unanimous,Mike Bell 28-29.,Ron McCarthy 28-29.,Tony Weeks 28-29.,Brad Tavares ,0,33 of 59,0,0 of 0,---,0:03,33 of 59,19 of 41,10 of 14,4 of 4,28 of 52,5 of 7,Dricus Du Plessis ,0,39 of 75,0,0 of 1,0%,0:00,39 of 75,28 of 61,5 of 6,6 of 8,33 of 66,6 of 9
Round 3,Mark Smith,Decision - Unanimous,Mike Bell 28-29.,Ron McCarthy 28-29.,Tony Weeks 28-29.,Brad Tavares ,0,40 of 79,0,0 of 1,0%,0:00,39 of 78,28 of 62,9 of 14,2 of 2,35 of 72,4 of 6,Dricus Du Plessis ,0,61 of 112,0,0 of 0,---,0:00,60 of 111,41 of 89,10 of 12,9 of 10,55 of 106,5 of 5
Round 1,Herb Dean,Decision - Unanimous,Derek Cleary 27-30.,Anthony Maness 27-30.,Junichiro Kamijo 27-30.,Uriah Hall ,0,1 of 9,0,0 of 0,---,0:00,0 of 8,0 of 8,0 of 0,0 of 0,0 of 8,0 of 0,Andre Muniz ,0,29 of 58,0,2 of 4,50%,2:41,7 of 17,5 of 14,1 of 1,1 of 2,5 of 13,0 of 1
Round 2,Herb Dean,Decision - Unanimous,Derek Cleary 27-30.,Anthony Maness 27-30.,Junichiro Kamijo 27-30.,Uriah Hall ,0,14 of 27,0,0 of 0,---,0:07,6 of 15,6 of 15,0 of 0,0 of 0,3 of 6,0 of 0,Andre Muniz ,0,52 of 86,0,1 of 4,25%,3:28,5 of 13,4 of 11,0 of 1,1 of 1,3 of 11,0 of 0
Round 3,Herb Dean,Decision - Unanimous,Derek Cleary 27-30.,Anthony Maness 27-30.,Junichiro Kamijo 27-30.,Uriah Hall ,0,9 of 13,0,0 of 0,---,0:11,0 of 3,0 of 3,0 of 0,0 of 0,0 of 3,0 of 0,Andre Muniz ,0,18 of 41,0,1 of 2,50%,4:03,5 of 9,2 of 6,1 of 1,2 of 2,4 of 8,0 of 0
Round 1,Jason Herzog,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 27-30.,Jessica Eye ,0,34 of 38,0,0 of 0,---,2:59,12 of 16,8 of 12,4 of 4,0 of 0,4 of 6,8 of 10,Maycee Barber ,0,35 of 40,0,0 of 0,---,1:24,21 of 26,15 of 19,6 of 7,0 of 0,0 of 4,21 of 22
Round 2,Jason Herzog,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 27-30.,Jessica Eye ,0,19 of 26,0,1 of 2,50%,3:52,5 of 9,2 of 5,3 of 4,0 of 0,2 of 6,1 of 1,Maycee Barber ,0,13 of 21,0,0 of 0,---,0:17,7 of 15,5 of 13,2 of 2,0 of 0,3 of 9,4 of 6
Round 3,Jason Herzog,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 27-30.,Jessica Eye ,0,23 of 42,0,0 of 2,0%,1:18,18 of 37,13 of 31,2 of 2,3 of 4,11 of 29,7 of 8,Maycee Barber ,0,35 of 56,0,0 of 0,---,0:11,35 of 56,25 of 46,8 of 8,2 of 2,20 of 38,10 of 13
Round 1,Jason Herzog,Decision - Unanimous,Sal D'amato 47-48.,Chris Lee 47-48.,Ron McCarthy 47-48.,Arman Tsarukyan ,0,19 of 41,0,1 of 3,33%,0:46,15 of 37,3 of 21,7 of 9,5 of 7,14 of 36,1 of 1,Mateusz Gamrot ,0,11 of 20,0,0 of 4,0%,0:24,10 of 19,6 of 13,2 of 4,2 of 2,9 of 18,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,Sal D'amato 47-48.,Chris Lee 47-48.,Ron McCarthy 47-48.,Arman Tsarukyan ,0,21 of 68,0,0 of 2,0%,0:00,19 of 64,7 of 47,9 of 12,3 of 5,18 of 62,0 of 1,Mateusz Gamrot ,0,21 of 41,0,0 of 1,0%,0:10,18 of 38,13 of 33,3 of 3,2 of 2,16 of 36,0 of 0
Round 3,Jason Herzog,Decision - Unanimous,Sal D'amato 47-48.,Chris Lee 47-48.,Ron McCarthy 47-48.,Arman Tsarukyan ,0,23 of 46,0,0 of 2,0%,0:00,22 of 45,11 of 33,8 of 9,3 of 3,20 of 43,2 of 2,Mateusz Gamrot ,0,30 of 43,0,2 of 6,33%,1:20,20 of 33,19 of 31,1 of 1,0 of 1,18 of 31,2 of 2
Round 4,Jason Herzog,Decision - Unanimous,Sal D'amato 47-48.,Chris Lee 47-48.,Ron McCarthy 47-48.,Arman Tsarukyan ,1,18 of 49,1,0 of 0,---,0:24,16 of 47,9 of 38,7 of 9,0 of 0,15 of 45,0 of 1,Mateusz Gamrot ,0,18 of 29,0,2 of 5,40%,1:41,13 of 23,12 of 21,1 of 2,0 of 0,13 of 22,0 of 1
Round 5,Jason Herzog,Decision - Unanimous,Sal D'amato 47-48.,Chris Lee 47-48.,Ron McCarthy 47-48.,Arman Tsarukyan ,0,29 of 60,0,0 of 1,0%,0:29,23 of 54,13 of 43,8 of 9,2 of 2,21 of 49,0 of 1,Mateusz Gamrot ,0,28 of 33,0,2 of 5,40%,1:23,20 of 25,18 of 23,2 of 2,0 of 0,17 of 22,2 of 2
Round 1,Jason Herzog,Decision - Unanimous,25-30.,26-30.,Junichiro Kamijo 27-30.,Nate Maness ,0,17 of 28,0,0 of 0,---,0:00,1 of 10,0 of 9,1 of 1,0 of 0,1 of 10,0 of 0,Umar Nurmagomedov ,0,40 of 46,0,1 of 1,100%,3:29,18 of 21,17 of 17,0 of 2,1 of 2,4 of 7,0 of 0
Round 2,Jason Herzog,Decision - Unanimous,25-30.,26-30.,Junichiro Kamijo 27-30.,Nate Maness ,0,18 of 21,0,0 of 0,---,0:00,0 of 1,0 of 1,0 of 0,0 of 0,0 of 1,0 of 0,Umar Nurmagomedov ,0,32 of 43,0,1 of 1,100%,4:23,21 of 31,18 of 27,3 of 4,0 of 0,1 of 5,0 of 0
Round 3,Jason Herzog,Decision - Unanimous,25-30.,26-30.,Junichiro Kamijo 27-30.,Nate Maness ,0,11 of 19,0,0 of 0,---,0:00,1 of 9,1 of 9,0 of 0,0 of 0,1 of 9,0 of 0,Umar Nurmagomedov ,0,56 of 72,0,1 of 2,50%,2:57,35 of 48,25 of 35,7 of 9,3 of 4,12 of 21,0 of 0
Round 1,Mark Smith,Decision - Unanimous,Chris Lee 28-29.,Anthony Maness 28-29.,Junichiro Kamijo 28-29.,Chris Curtis ,0,28 of 38,0,0 of 0,---,0:13,17 of 27,8 of 18,9 of 9,0 of 0,13 of 22,2 of 3,Rodolfo Vieira ,0,22 of 31,0,0 of 7,0%,1:08,19 of 28,9 of 18,3 of 3,7 of 7,18 of 25,1 of 3
Round 2,Mark Smith,Decision - Unanimous,Chris Lee 28-29.,Anthony Maness 28-29.,Junichiro Kamijo 28-29.,Chris Curtis ,0,49 of 70,0,0 of 0,---,0:04,46 of 67,36 of 54,10 of 13,0 of 0,46 of 66,0 of 1,Rodolfo Vieira ,0,42 of 65,0,0 of 3,0%,0:57,41 of 64,32 of 53,2 of 4,7 of 7,39 of 62,2 of 2
Round 3,Mark Smith,Decision - Unanimous,Chris Lee 28-29.,Anthony Maness 28-29.,Junichiro Kamijo 28-29.,Chris Curtis ,0,51 of 85,0,0 of 0,---,0:18,46 of 80,36 of 64,10 of 16,0 of 0,45 of 79,0 of 0,Rodolfo Vieira ,0,26 of 53,0,0 of 10,0%,0:00,26 of 53,23 of 50,1 of 1,2 of 2,26 of 53,0 of 0
Round 1,Chris Tognoni,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 28-29.,Shayilan Nuerdanbieke ,1,30 of 50,1,1 of 2,50%,2:17,22 of 42,18 of 38,0 of 0,4 of 4,17 of 37,2 of 2,TJ Brown ,0,29 of 55,0,0 of 1,0%,0:05,24 of 49,15 of 39,6 of 7,3 of 3,20 of 45,3 of 3
Round 2,Chris Tognoni,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 28-29.,Shayilan Nuerdanbieke ,0,17 of 20,0,1 of 3,33%,2:47,5 of 8,4 of 7,0 of 0,1 of 1,1 of 2,0 of 0,TJ Brown ,0,7 of 20,0,1 of 1,100%,1:39,2 of 9,2 of 9,0 of 0,0 of 0,2 of 9,0 of 0
Round 3,Chris Tognoni,Decision - Unanimous,Sal D'amato 28-29.,Ron McCarthy 28-29.,Adalaide Byrd 28-29.,Shayilan Nuerdanbieke ,0,39 of 51,0,1 of 1,100%,2:28,20 of 29,19 of 28,1 of 1,0 of 0,14 of 22,0 of 0,TJ Brown ,0,22 of 50,0,0 of 0,---,1:10,16 of 41,13 of 38,3 of 3,0 of 0,14 of 38,0 of 0
